vote_event_id,voter_id,option,group_id
51-693.TX,51-9,yes,psdb
51-693.TX,51-536,yes,ppb
51-693.TX,51-60,yes,ptb
51-693.TX,51-335,yes,psdb
51-693.TX,51-223,yes,pfl
51-693.TX,51-589,yes,pfl
51-693.TX,51-336,yes,pt
51-693.TX,51-129,yes,psdb
51-693.TX,51-144,yes,pmdb
51-693.TX,51-337,no,ptb
51-693.TX,51-343,yes,psdb
51-693.TX,51-338,yes,ptb
51-693.TX,51-595,yes,pmdb
51-693.TX,51-38,yes,pfl
51-693.TX,51-109,yes,psdb
51-693.TX,51-165,no,ppb
51-693.TX,51-489,yes,ppb
51-693.TX,51-128,yes,pt
51-693.TX,51-111,yes,psdb
51-693.TX,51-10,yes,pl
51-693.TX,51-443,yes,psdb
51-693.TX,51-184,yes,pmdb
51-693.TX,51-289,no,pl
51-693.TX,51-347,no,pl
51-693.TX,51-528,yes,psdb
51-693.TX,51-224,yes,pst
51-693.TX,51-597,yes,psdb
51-693.TX,51-120,yes,pfl
51-693.TX,51-148,yes,psdb
51-693.TX,51-130,yes,ptb
51-693.TX,51-227,yes,psdb
51-693.TX,51-621,yes,pfl
51-693.TX,51-290,yes,pt
51-693.TX,51-400,yes,pfl
51-693.TX,51-344,yes,ppb
51-693.TX,51-70,yes,pfl
51-693.TX,51-446,yes,psdb
51-693.TX,51-112,yes,pfl
51-693.TX,51-186,yes,pfl
51-693.TX,51-153,yes,pps
51-693.TX,51-225,yes,pfl
51-693.TX,51-45,yes,pmdb
51-693.TX,51-345,yes,pfl
51-693.TX,51-187,yes,pmdb
51-693.TX,51-228,yes,psdb
51-693.TX,51-133,yes,pmdb
51-693.TX,51-229,yes,psdb
51-693.TX,51-491,yes,pmdb
51-693.TX,51-382,no,psl
51-693.TX,51-348,yes,ppb
51-693.TX,51-18,yes,pfl
51-693.TX,51-444,yes,ppb
51-693.TX,51-293,yes,ppb
51-693.TX,51-155,no,psb
51-693.TX,51-624,yes,pmdb
51-693.TX,51-134,yes,psdb
51-693.TX,51-620,no,pmdb
51-693.TX,51-12,yes,ppb
51-693.TX,51-294,yes,psdb
51-693.TX,51-358,yes,pdt
51-693.TX,51-449,yes,pt
51-693.TX,51-349,yes,ptb
51-693.TX,51-470,yes,pmdb
51-693.TX,51-578,yes,ptb
51-693.TX,51-471,yes,pmdb
51-693.TX,51-231,yes,ppb
51-693.TX,51-623,yes,psdb
51-693.TX,51-230,yes,psdb
51-693.TX,51-140,no,psb
51-693.TX,51-14,yes,ptb
51-693.TX,51-22,yes,pmdb
51-693.TX,51-612,yes,psdb
51-693.TX,51-73,yes,ppb
51-693.TX,51-232,yes,pfl
51-693.TX,51-353,yes,pps
51-693.TX,51-532,yes,pt
51-693.TX,51-190,yes,pl
51-693.TX,51-415,no,pmdb
51-693.TX,51-563,yes,pfl
51-693.TX,51-95,yes,pmdb
51-693.TX,51-47,no,pdt
51-693.TX,51-15,no,psb
51-693.TX,51-590,no,psb
51-693.TX,51-191,yes,ptb
51-693.TX,51-478,yes,pdt
51-693.TX,51-233,yes,pmdb
51-693.TX,51-141,yes,pt
51-693.TX,51-296,yes,pt
51-693.TX,51-297,yes,ptb
51-693.TX,51-354,no,psdc
51-693.TX,51-496,yes,ppb
51-693.TX,51-274,yes,psdb
51-693.TX,51-514,yes,pt
51-693.TX,51-447,yes,pt
51-693.TX,51-36,yes,pfl
51-693.TX,51-181,yes,pfl
51-693.TX,51-63,yes,pmdb
51-693.TX,51-75,no,pmdb
51-693.TX,51-193,yes,pmdb
51-693.TX,51-417,no,pmdb
51-693.TX,51-497,no,pmdb
51-693.TX,51-23,yes,ppb
51-693.TX,51-479,yes,pfl
51-693.TX,51-357,yes,pfl
51-693.TX,51-234,yes,pt
51-693.TX,51-25,yes,pdt
51-693.TX,51-166,no,psb
51-693.TX,51-236,yes,pmdb
51-693.TX,51-143,no,psb
51-693.TX,51-450,yes,pmdb
51-693.TX,51-194,no,pcdob
51-693.TX,51-549,yes,psdb
51-693.TX,51-123,yes,pmdb
51-693.TX,51-498,yes,pt
51-693.TX,51-114,yes,pfl
51-693.TX,51-235,yes,ppb
51-693.TX,51-448,yes,pmdb
51-693.TX,51-360,yes,pt
51-693.TX,51-238,yes,ppb
51-693.TX,51-308,yes,pfl
51-693.TX,51-62,yes,pmdb
51-693.TX,51-53,yes,psdb
51-693.TX,51-94,no,pcdob
51-693.TX,51-145,yes,pfl
51-693.TX,51-455,yes,ptb
51-693.TX,51-174,yes,pps
51-693.TX,51-188,yes,pfl
51-693.TX,51-240,yes,pfl
51-693.TX,51-302,no,ppb
51-693.TX,51-359,yes,pt
51-693.TX,51-196,yes,pfl
51-693.TX,51-197,yes,pt
51-693.TX,51-198,yes,psdb
51-693.TX,51-167,abstain,pl
51-693.TX,51-585,yes,pfl
51-693.TX,51-72,yes,psdb
51-693.TX,51-275,yes,pt
51-693.TX,51-591,no,pdt
51-693.TX,51-364,yes,pps
51-693.TX,51-199,yes,ppb
51-693.TX,51-534,yes,pt
51-693.TX,51-473,yes,pmdb
51-693.TX,51-304,yes,pfl
51-693.TX,51-361,yes,pt
51-693.TX,51-309,yes,pdt
51-693.TX,51-54,yes,ppb
51-693.TX,51-156,yes,pfl
51-693.TX,51-192,yes,pmdb
51-693.TX,51-175,yes,pmdb
51-693.TX,51-310,yes,pt
51-693.TX,51-201,yes,pfl
51-693.TX,51-526,yes,pmdb
51-693.TX,51-362,yes,pmdb
51-693.TX,51-305,yes,psdb
51-693.TX,51-76,no,psb
51-693.TX,51-451,yes,pmdb
51-693.TX,51-202,yes,pfl
51-693.TX,51-276,yes,ptb
51-693.TX,51-273,yes,pfl
51-693.TX,51-457,yes,ptb
51-693.TX,51-147,yes,pmdb
51-693.TX,51-366,no,ptn
51-693.TX,51-367,yes,pt
51-693.TX,51-96,yes,ppb
51-693.TX,51-241,yes,ptb
51-693.TX,51-150,yes,psdb
51-693.TX,51-97,yes,pt
51-693.TX,51-391,yes,pdt
51-693.TX,51-203,yes,pfl
51-693.TX,51-169,yes,pfl
51-693.TX,51-29,yes,ptb
51-693.TX,51-499,yes,ppb
51-693.TX,51-369,yes,psdb
51-693.TX,51-418,yes,pl
51-693.TX,51-17,no,pmdb
51-693.TX,51-206,yes,psdb
51-693.TX,51-564,yes,pfl
51-693.TX,51-605,no,psb
51-693.TX,51-125,yes,pmdb
51-693.TX,51-370,no,pmdb
51-693.TX,51-311,yes,pfl
51-693.TX,51-121,yes,pfl
51-693.TX,51-98,yes,psdb
51-693.TX,51-204,yes,pmdb
51-693.TX,51-243,no,psl
51-693.TX,51-481,yes,pt
51-693.TX,51-4,yes,pfl
51-693.TX,51-453,yes,pfl
51-693.TX,51-608,yes,pt
